,Date,mode_of_purchase,sporting_equipment,store,estimated_spending,number_of_items_bought
0,2019-08-01,order,fitness,east,167.1768,7
1,2019-08-01,order,jog/run,south,297.5084,8
2,2019-08-01,order,pilates,south,150.5168,5
3,2019-08-01,order,pilates,east,91.91139999999999,7
4,2019-08-01,physical_collection,diving,west,90.8194,2
5,2019-08-01,order,skate/roller,east,206.71279999999996,1
6,2019-08-01,order,surfing,east,161.9128,2
7,2019-08-01,order,trail,east,207.2336,4
8,2019-08-01,order,boxing,east,40.8814,1
9,2019-08-01,order,football,east,68.68119999999999,2
10,2019-08-01,order,swimming,south,167.7018,4
11,2019-08-01,order,surfing,south,129.6666,4
12,2019-08-01,order,jog/run,east,506.9512,5
13,2019-08-01,order,cycling,east,95.914,7
14,2019-08-01,order,basketball,south,152.8072,4
15,2019-08-01,physical_collection,yoga,west,18.235,4
16,2019-08-01,order,hiking/trekking,east,1191.5469999999998,15
17,2019-08-01,physical_collection,swimming,west,25.0656,5
18,2019-08-01,order,football,south,32.2042,5
19,2019-08-01,order,yoga,east,110.77359999999999,1
20,2019-08-01,order,diving,east,312.137,1
21,2019-08-01,order,swimming,east,353.9396,9
22,2019-08-01,order,diving,south,103.22339999999998,2
23,2019-08-01,order,crosstrain,east,213.00719999999998,4
24,2019-08-01,order,kayak/sup,east,161.2562,4
25,2019-08-01,physical_collection,cycling,west,48.0186,4
26,2019-08-01,order,tennis,east,16.0636,5
27,2019-08-01,order,basketball,east,38.187799999999996,2
28,2019-08-01,order,skate/roller,south,43.5316,5
29,2019-08-01,order,tennis,south,126.44099999999999,7
30,2019-08-01,order,table_tennis,east,32.580799999999996,7
31,2019-08-01,physical_collection,crosstrain,west,71.61979999999998,2
32,2019-08-01,order,yoga,south,57.3552,4
33,2019-08-01,order,climbing,east,63.611799999999995,1
34,2019-08-01,order,badminton,east,54.8674,5
35,2019-08-01,order,cycling,south,62.95939999999999,2
36,2019-08-01,physical_collection,pilates,west,19.467,5
37,2019-08-01,physical_collection,hiking/trekking,west,309.00239999999997,15
38,2019-08-01,physical_collection,others,west,19.884199999999996,1
39,2019-08-01,order,fitness,south,129.5322,4
40,2019-08-01,order,crosstrain,south,247.4108,5
41,2019-08-01,order,hiking/trekking,south,653.3212,11
42,2019-08-01,physical_collection,jog/run,west,41.49739999999999,5
43,2019-08-01,physical_collection,ski,west,20.9916,5
44,2019-08-01,physical_collection,basketball,west,35.0364,4
45,2019-08-01,order,trail,south,213.30679999999998,1
46,2019-08-02,order,fitness,east,2613.4248,47
47,2019-08-02,order,cycling,east,1636.1029999999998,16
48,2019-08-02,order,tennis,south,1019.5387999999999,25
49,2019-08-02,order,swimming,east,3866.9525999999996,53
50,2019-08-02,order,tennis,east,674.1013999999999,12
51,2019-08-02,order,swimming,south,1760.3754,28
52,2019-08-02,order,climbing,east,310.2862,7
53,2019-08-02,order,table_tennis,east,160.38959999999997,7
54,2019-08-02,order,volleyball,south,40.04,1
55,2019-08-02,order,crosstrain,east,2084.4698,18
56,2019-08-02,order,jog/run,east,8221.409,86
57,2019-08-02,physical_collection,golf,west,78.1088,4
58,2019-08-02,physical_collection,sailing,west,83.069,1
59,2019-08-02,order,diving,east,2139.9042,23
60,2019-08-02,order,surfing,east,2175.1477999999997,21
61,2019-08-02,order,basketball,east,777.5642,12
62,2019-08-02,order,badminton,east,933.0915999999999,5
63,2019-08-02,order,trail,south,751.5858,2
64,2019-08-02,order,trail,east,1219.4714,11
65,2019-08-02,physical_collection,badminton,west,37.7356,4
66,2019-08-02,order,diving,south,977.5975999999999,15
67,2019-08-02,order,skate/roller,east,1502.2616,7
68,2019-08-02,order,skate/roller,south,285.56919999999997,5
69,2019-08-02,order,golf,south,79.359,5
70,2019-08-02,order,jog/run,south,3716.0703999999996,58
71,2019-08-02,order,pilates,east,1301.1586,28
72,2019-08-02,physical_collection,diving,west,165.3932,5
73,2019-08-02,physical_collection,others,west,133.5334,2
74,2019-08-02,order,pilates,south,936.9206,14
75,2019-08-02,order,surfing,south,1494.185,15
76,2019-08-02,order,yoga,south,516.5398,7
77,2019-08-02,order,yoga,east,1578.6763999999998,9
78,2019-08-02,order,football,east,1208.3259999999998,14
79,2019-08-02,order,basketball,south,547.9096,11
80,2019-08-02,order,kayak/sup,east,676.7263999999999,4
81,2019-08-02,order,others,south,15.992199999999999,5
82,2019-08-02,physical_collection,surfing,west,42.1428,1
83,2019-08-02,order,badminton,south,395.2802,9
84,2019-08-02,physical_collection,trail,west,83.146,5
85,2019-08-02,physical_collection,boxing,west,85.4924,5
86,2019-08-02,order,fitness,south,1415.897,28
87,2019-08-02,order,football,south,498.06679999999994,7
88,2019-08-02,order,boxing,east,127.8382,2
89,2019-08-02,order,rugby,south,43.7346,7
90,2019-08-02,order,cycling,south,140.5614,2
91,2019-08-02,order,sailing,south,14.7938,2
92,2019-08-02,order,others,east,358.7976,2
93,2019-08-02,physical_collection,football,west,56.8456,7
94,2019-08-02,order,golf,east,202.24679999999998,5
95,2019-08-02,order,hiking/trekking,east,18834.6676,175
96,2019-08-02,order,hiking/trekking,south,5803.574,92
97,2019-08-02,order,crosstrain,south,1481.2112,11
98,2019-08-02,order,squash,east,15.531599999999997,5
99,2019-08-02,physical_collection,ski,west,291.704,5
