,Date,mode_of_purchase,sporting_equipment,store,estimated_spending,number_of_items_bought
0,2019-08-01,order,fitness,east,119.41199999999999,5
1,2019-08-01,order,jog/run,south,212.506,6
2,2019-08-01,order,pilates,south,107.51199999999999,4
3,2019-08-01,order,pilates,east,65.651,5
4,2019-08-01,physical_collection,diving,west,64.87100000000001,2
5,2019-08-01,order,skate/roller,east,147.652,1
6,2019-08-01,order,surfing,east,115.652,2
8,2019-08-01,order,trail,east,148.024,3
9,2019-08-01,order,boxing,east,29.201,1
10,2019-08-01,order,football,east,49.058,2
12,2019-08-01,order,swimming,south,119.78699999999999,3
13,2019-08-01,order,surfing,south,92.619,3
14,2019-08-01,order,jog/run,east,362.108,4
15,2019-08-01,order,cycling,east,68.51,5
16,2019-08-01,order,basketball,south,109.148,3
17,2019-08-01,physical_collection,yoga,west,13.025,3
18,2019-08-01,order,hiking/trekking,east,851.1049999999999,11
19,2019-08-01,physical_collection,swimming,west,17.904,4
20,2019-08-01,order,football,south,23.003,4
21,2019-08-01,order,yoga,east,79.124,1
22,2019-08-01,order,diving,east,222.955,1
23,2019-08-01,order,swimming,east,252.814,7
24,2019-08-01,order,diving,south,73.731,2
25,2019-08-01,order,crosstrain,east,152.148,3
26,2019-08-01,order,kayak/sup,east,115.18299999999999,3
28,2019-08-01,physical_collection,cycling,west,34.299,3
29,2019-08-01,order,tennis,east,11.474,4
30,2019-08-01,order,basketball,east,27.276999999999997,2
31,2019-08-01,order,skate/roller,south,31.094,4
32,2019-08-01,order,tennis,south,90.315,5
33,2019-08-01,order,table_tennis,east,23.272,5
34,2019-08-01,physical_collection,crosstrain,west,51.157,2
35,2019-08-01,order,yoga,south,40.968,3
37,2019-08-01,order,climbing,east,45.437,1
38,2019-08-01,order,badminton,east,39.191,4
39,2019-08-01,order,cycling,south,44.971,2
40,2019-08-01,physical_collection,pilates,west,13.905000000000001,4
42,2019-08-01,physical_collection,hiking/trekking,west,220.71599999999998,11
44,2019-08-01,physical_collection,others,west,14.203,1
45,2019-08-01,order,fitness,south,92.523,3
46,2019-08-01,order,crosstrain,south,176.722,4
47,2019-08-01,order,hiking/trekking,south,466.658,8
48,2019-08-01,physical_collection,jog/run,west,29.641000000000002,4
50,2019-08-01,physical_collection,ski,west,14.994,4
51,2019-08-01,physical_collection,basketball,west,25.026,3
52,2019-08-01,order,trail,south,152.362,1
54,2019-08-02,order,fitness,east,1866.732,34
55,2019-08-02,order,cycling,east,1168.645,12
56,2019-08-02,order,tennis,south,728.242,18
57,2019-08-02,order,swimming,east,2762.109,38
58,2019-08-02,order,tennis,east,481.50100000000003,9
59,2019-08-02,order,swimming,south,1257.411,20
60,2019-08-02,order,climbing,east,221.63299999999998,5
61,2019-08-02,order,table_tennis,east,114.56400000000001,5
62,2019-08-02,order,volleyball,south,28.6,1
63,2019-08-02,order,crosstrain,east,1488.907,13
64,2019-08-02,order,jog/run,east,5872.4349999999995,62
65,2019-08-02,physical_collection,golf,west,55.791999999999994,3
66,2019-08-02,physical_collection,sailing,west,59.335,1
67,2019-08-02,order,diving,east,1528.5030000000002,17
68,2019-08-02,order,surfing,east,1553.6770000000001,15
69,2019-08-02,order,basketball,east,555.403,9
70,2019-08-02,order,badminton,east,666.4939999999999,4
71,2019-08-02,order,trail,south,536.847,2
72,2019-08-02,order,trail,east,871.051,8
73,2019-08-02,physical_collection,badminton,west,26.954,3
74,2019-08-02,order,diving,south,698.284,11
75,2019-08-02,order,skate/roller,east,1073.044,5
76,2019-08-02,order,skate/roller,south,203.978,4
77,2019-08-02,order,golf,south,56.685,4
78,2019-08-02,order,jog/run,south,2654.3360000000002,42
79,2019-08-02,order,pilates,east,929.399,20
80,2019-08-02,physical_collection,diving,west,118.138,4
81,2019-08-02,physical_collection,others,west,95.381,2
82,2019-08-02,order,pilates,south,669.229,10
83,2019-08-02,order,surfing,south,1067.275,11
84,2019-08-02,order,yoga,south,368.957,5
85,2019-08-02,order,yoga,east,1127.626,7
86,2019-08-02,order,football,east,863.0899999999999,10
87,2019-08-02,order,basketball,south,391.364,8
88,2019-08-02,order,kayak/sup,east,483.37600000000003,3
90,2019-08-02,order,others,south,11.423,4
91,2019-08-02,physical_collection,surfing,west,30.101999999999997,1
92,2019-08-02,order,badminton,south,282.34299999999996,7
93,2019-08-02,physical_collection,trail,west,59.39,4
94,2019-08-02,physical_collection,boxing,west,61.065999999999995,4
95,2019-08-02,order,fitness,south,1011.3549999999999,20
97,2019-08-02,order,football,south,355.762,5
98,2019-08-02,order,boxing,east,91.313,2
99,2019-08-02,order,rugby,south,31.238999999999997,5
100,2019-08-02,order,cycling,south,100.401,2
101,2019-08-02,order,sailing,south,10.567,2
102,2019-08-02,order,others,east,256.284,2
104,2019-08-02,physical_collection,football,west,40.604,5
106,2019-08-02,order,golf,east,144.462,4
107,2019-08-02,order,hiking/trekking,east,13453.333999999999,125
108,2019-08-02,order,hiking/trekking,south,4145.41,66
110,2019-08-02,order,crosstrain,south,1058.008,8
111,2019-08-02,order,squash,east,11.094,4
113,2019-08-02,physical_collection,ski,west,208.35999999999999,4
114,2019-08-02,physical_collection,hiking/trekking,west,399.90999999999997,13
117,2019-08-02,physical_collection,fitness,west,456.658,5
118,2019-08-02,physical_collection,jog/run,west,121.43199999999999,3
119,2019-08-02,physical_collection,cycling,west,13.95,1
121,2019-08-02,physical_collection,crosstrain,west,423.72799999999995,2
123,2019-08-02,order,table_tennis,south,29.451999999999998,4
124,2019-08-02,physical_collection,swimming,west,157.906,4
126,2019-08-02,physical_collection,kayak/sup,west,12.8,3
127,2019-08-03,order,crosstrain,south,580.278,9
128,2019-08-03,order,volleyball,south,13.149000000000001,4
129,2019-08-03,order,tennis,east,548.388,16
130,2019-08-03,order,surfing,east,1072.847,12
131,2019-08-03,order,jog/run,east,4593.973,51
132,2019-08-03,order,surfing,south,841.963,11
133,2019-08-03,order,yoga,south,407.488,6
134,2019-08-03,order,diving,east,1191.435,11
135,2019-08-03,physical_collection,skate/roller,west,42.369,4
136,2019-08-03,order,trail,south,318.87800000000004,2
137,2019-08-03,order,jog/run,south,2003.33,29
138,2019-08-03,order,pilates,south,409.36,12
139,2019-08-03,order,swimming,south,838.271,15
140,2019-08-03,order,badminton,east,418.55699999999996,6
141,2019-08-03,physical_collection,jog/run,west,188.608,6
142,2019-08-03,order,golf,east,179.33800000000002,5
143,2019-08-03,physical_collection,kayak/sup,west,12.333,1
144,2019-08-03,physical_collection,basketball,west,11.504999999999999,4
145,2019-08-03,order,basketball,south,258.773,5
146,2019-08-03,order,football,east,1471.884,15
147,2019-08-03,order,pilates,east,1390.785,22
148,2019-08-03,order,kayak/sup,east,160.203,3
149,2019-08-03,order,table_tennis,south,17.595,1
150,2019-08-03,order,tennis,south,864.601,13
151,2019-08-03,order,basketball,east,507.562,10
152,2019-08-03,order,swimming,east,2274.861,37
153,2019-08-03,order,climbing,east,410.465,5
154,2019-08-03,physical_collection,others,west,62.766,2
155,2019-08-03,order,skate/roller,south,277.165,5
157,2019-08-03,order,badminton,south,227.783,2
158,2019-08-03,order,others,east,551.047,4
159,2019-08-03,order,football,south,445.492,6
160,2019-08-03,order,table_tennis,east,60.288,3
161,2019-08-03,order,trail,east,622.692,5
162,2019-08-03,order,diving,south,739.817,5
164,2019-08-03,order,yoga,east,1049.8600000000001,8
165,2019-08-03,order,hiking/trekking,south,3444.558,43
166,2019-08-03,order,skate/roller,east,939.817,5
167,2019-08-03,order,sailing,south,12.605,4
168,2019-08-03,physical_collection,cycling,west,58.607000000000006,2
169,2019-08-03,order,golf,south,73.51599999999999,3
170,2019-08-03,order,cycling,south,82.499,3
171,2019-08-03,order,boxing,east,161.143,2
172,2019-08-03,physical_collection,football,west,20.765,2
176,2019-08-03,order,cycling,east,704.201,9
179,2019-08-03,physical_collection,hiking/trekking,west,471.34,7
180,2019-08-03,order,fitness,east,1366.35,27
181,2019-08-03,physical_collection,fitness,west,75.795,3
182,2019-08-03,order,squash,east,37.369,4
184,2019-08-03,order,hiking/trekking,east,6747.714,77
185,2019-08-03,physical_collection,ski,west,17.235,2
187,2019-08-03,physical_collection,yoga,west,29.933999999999997,1
188,2019-08-03,order,crosstrain,east,1597.712,11
189,2019-08-03,order,fitness,south,1128.7440000000001,18
192,2019-08-03,physical_collection,crosstrain,west,336.20300000000003,5
195,2019-08-03,order,volleyball,east,85.22999999999999,4
196,2019-08-03,physical_collection,surfing,west,31.436,3
198,2019-08-03,physical_collection,swimming,west,72.495,1
199,2019-08-04,order,surfing,south,835.0600000000001,14
200,2019-08-04,order,football,east,987.9620000000001,13
201,2019-08-04,order,diving,south,580.01,3
202,2019-08-04,order,cycling,east,847.293,11
203,2019-08-04,order,pilates,south,602.976,11
204,2019-08-04,order,climbing,east,444.255,5
205,2019-08-04,order,skate/roller,south,145.632,5
207,2019-08-04,physical_collection,football,west,38.486000000000004,3
208,2019-08-04,order,badminton,east,658.147,7
210,2019-08-04,order,table_tennis,east,128.7,3
211,2019-08-04,order,jog/run,east,5138.122,44
212,2019-08-04,order,boxing,east,154.309,4
213,2019-08-04,order,swimming,south,1327.788,19
215,2019-08-04,order,crosstrain,east,755.874,8
216,2019-08-04,physical_collection,skate/roller,west,34.870999999999995,1
217,2019-08-04,order,hiking/trekking,south,5901.963,73
218,2019-08-04,order,yoga,south,252.61700000000002,3
219,2019-08-04,order,squash,east,35.233,2
220,2019-08-04,order,basketball,east,736.47,10
222,2019-08-04,order,others,east,328.079,2
225,2019-08-04,order,tennis,east,395.291,12
226,2019-08-04,order,yoga,east,763.027,10
227,2019-08-04,order,fitness,east,1461.779,22
228,2019-08-04,order,basketball,south,378.728,6
229,2019-08-04,order,football,south,402.041,5
230,2019-08-04,order,volleyball,east,56.388999999999996,1
